csa_id,csa_name,strategic_design_principle_id,strategic_design_principle,structural_design_principle_id,structural_design_principle,cref_technique_id,technique,approach,APPROACH_ID,attack_technique_id,attack_technique
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1008,Fallback Channels
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1027,Obfuscated Files or Information
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1037,Boot or Logon Initialization Scripts
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1068,Exploitation for Privilege Escalation
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1070,Indicator Removal on Host
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1071,Application Layer Protocol
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1080,Taint Shared Content
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1090,Proxy
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1095,Non-Application Layer Protocol
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1104,Multi-Stage Channels
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1105,Ingress Tool Transfer
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1134,Access Token Manipulation
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1140,Deobfuscate/Decode Files or Information
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1189,Drive-by Compromise
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1195,Supply Chain Compromise
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1200,Hardware Additions
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1204,User Execution
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1207,Rogue Domain Controller
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1210,Exploitation of Remote Services
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1211,Exploitation for Defense Evasion
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1212,Exploitation for Credential Access
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1219,Remote Access Software
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1222,File and Directory Permissions Modification
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1485,Data Destruction
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1486,Data Encrypted for Impact
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1489,Service Stop
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1490,Inhibit System Recovery
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1491,Defacement
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1495,Firmware Corruption
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1499,Endpoint Denial of Service
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1505,Server Software Component
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1525,Implant Internal Image
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1529,System Shutdown/Reboot
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1542,Pre-OS Boot
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1543,Create or Modify System Process
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1546,Event Triggered Execution
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1547,Boot or Logon Autostart Execution
CSA-01,Control Access,sta4,Assume compromised resources,stu12,Determine ongoing trustworthiness,t13,Substantiated Integrity,Integrity Checks,a45,T1553,Subvert Trust Controls
