source_id,target_id,relationship_type
ZIG-ACT-3.4.6,T1485,mitigates
ZIG-ACT-6.7.4,T1595,mitigates
CM2004,ZIG-ACT-7.2.4,implements_activity
CM1162,ZIG-ACT-7.2.2,implements_activity
CM1164,ZIG-ACT-1.2.1,implements_activity
ZIG-ACT-4.4.1,T1090,mitigates
ZIG-ACT-7.4.3,T1127,mitigates
ZIG-ACT-3.2.2,T1091,mitigates
CM2029,ZIG-ACT-3.5.2,implements_activity
ZIG-ACT-1.6.2,T1030,mitigates
M1049,ZIG-ACT-5.2.3,implements_activity
ZIG-ACT-2.7.3,T1007,mitigates
ZIG-ACT-1.4.3,T1499,mitigates
CM1102,ZIG-ACT-2.7.2,implements_activity
ZIG-ACT-3.5.2,T1210,mitigates
ZIG-ACT-4.5.1,T1189,mitigates
ZIG-ACT-2.6.2,T1210,mitigates
CM1134,ZIG-ACT-3.2.2,implements_activity
CREF-APP-13,T1558,mitigates_architecturally
ZIG-ACT-4.3.4,T1212,mitigates
ZIG-ACT-2.3.2,T1125,mitigates
CREF-APP-50,T1591,mitigates_architecturally
ZIG-ACT-7.1.3,T1546,mitigates
ZIG-ACT-5.4.3,T1129,mitigates
CM1144,ZIG-ACT-1.3.3,implements_activity
ZIG-ACT-2.2.2,T1134,mitigates
ZIG-ACT-1.2.2,T1123,mitigates
CREF-APP-18,CREF-EFFECT-12,has_effect
CREF-APP-48,T1485,mitigates_architecturally
M1038,ZIG-ACT-3.2.2,implements_activity
ZIG-ACT-4.4.1,T1056,mitigates
ZIG-ACT-2.4.2,T1561,mitigates
ZIG-ACT-3.4.1,T1074,mitigates
M1045,ZIG-ACT-3.4.6,implements_activity
CM2033,T1560,mitigates
M1017,ZIG-ACT-6.4.2,implements_activity
CM2040,ZIG-ACT-7.1.3,implements_activity
CREF-APP-11,T1018,mitigates_architecturally
CM2038,ZIG-ACT-1.6.2,implements_activity
CREF-APP-20,CREF-EFFECT-15,has_effect
ZIG-ACT-5.2.3,T1566,mitigates
ZIG-ACT-7.2.2,T1113,mitigates
ZIG-ACT-7.6.2,T1021,mitigates
M1037,ZIG-ACT-2.6.1,implements_activity
ZIG-ACT-3.5.2,T1547,mitigates
ZIG-ACT-7.3.2,T1016,mitigates
CM2043,ZIG-ACT-5.4.1,implements_activity
ZIG-ACT-2.6.2,T1547,mitigates
ZIG-ACT-2.7.1,T1187,mitigates
ZIG-ACT-2.7.3,T1132,mitigates
ZIG-ACT-2.3.3,T1127,mitigates
CM1151,ZIG-ACT-2.2.1,implements_activity
CREF-APP-12,T1200,mitigates_architecturally
CSA-04,CREF-STA-4,embodies_principle
CM1137,ZIG-ACT-1.2.3,implements_activity
ZIG-ACT-1.6.2,T1222,mitigates
ZIG-ACT-5.3.1,T1095,mitigates
ZIG-ACT-1.6.1,T1552,mitigates
ZIG-ACT-1.4.4,T1080,mitigates
ZIG-ACT-6.5.3,T1480,mitigates
CM1142,ZIG-ACT-2.3.6,implements_activity
CM1131,ZIG-ACT-7.2.3,implements_activity
CM1108,ZIG-ACT-1.2.2,implements_activity
ZIG-ACT-4.5.1,T1497,mitigates
CM2015,ZIG-ACT-2.2.1,implements_activity
ZIG-ACT-2.7.3,T1010,mitigates
CM2015,ZIG-ACT-3.2.1,implements_activity
CM2011,ZIG-ACT-5.4.4,implements_activity
ZIG-ACT-4.4.3,T1530,mitigates
CM2009,SI-7(1),satisfies_control
ZIG-ACT-2.1.4,T1561,mitigates
ZIG-ACT-2.3.5,T1553,mitigates
ZIG-ACT-2.7.2,T1055,mitigates
M1022,ZIG-ACT-3.2.2,implements_activity
ZIG-ACT-7.4.3,T1102,mitigates
CREF-APP-11,T1213,mitigates_architecturally
ZIG-ACT-3.3.2,T1585,mitigates
ZIG-ACT-4.4.3,T1072,mitigates
CM1154,ZIG-ACT-2.3.1,implements_activity
ZIG-ACT-4.4.3,T1106,mitigates
ZIG-ACT-5.4.3,T1482,mitigates
CM2004,ZIG-ACT-7.2.5,implements_activity
CM1142,ZIG-ACT-3.4.1,implements_activity
CM1136,ZIG-ACT-3.5.2,implements_activity
ZIG-ACT-1.6.2,T1087,mitigates
ZIG-ACT-6.7.1,T1570,mitigates
ZIG-ACT-7.3.1,T1528,mitigates
CM1162,ZIG-ACT-2.2.1,implements_activity
ZIG-ACT-4.5.3,T1560,mitigates
ZIG-ACT-3.3.2,T1095,mitigates
ZIG-ACT-6.1.2,T1531,mitigates
ZIG-ACT-7.6.2,T1025,mitigates
ZIG-ACT-5.2.4,T1542,mitigates
ZIG-ACT-4.4.3,T1567,mitigates
M1050,ZIG-ACT-1.6.2,implements_activity
ZIG-ACT-5.4.3,T1612,mitigates
ZIG-ACT-7.2.4,T1127,mitigates
ZIG-ACT-3.3.1,T1587,mitigates
