id,type,name,description,url
CREF-GOAL-1,cref_goal,Anticipate,Maintain a state of informed preparedness for adversity.,
CREF-OBJ-1,cref_objective,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,
CREF-TECH-1,cref_technique,Adaptive Response,Implement agile cyber courses of action to manage risks.,
CREF-APP-1,cref_approach,Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of cyber resources to change functionality or behavior without interrupting service.",
CREF-GOAL-2,cref_goal,Withstand,Continue essential mission or business functions despite adversity.,
CREF-OBJ-2,cref_objective,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,
CREF-GOAL-3,cref_goal,Recover,Restore mission or business functions during and after adversity.,
CREF-GOAL-4,cref_goal,Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",
CREF-OBJ-3,cref_objective,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,
CREF-OBJ-4,cref_objective,Constrain,Limit damage from adversity.,
CREF-OBJ-5,cref_objective,Reconstitute,Restore as much mission or business functionality as possible after adversity.,
CREF-OBJ-6,cref_objective,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,
CREF-TECH-3,cref_technique,Coordinated Protection,Ensure that protection mechanisms operate in a coordinated and effective manner.,
CREF-APP-10,cref_approach,Self-Challenge,"Affect mission/business processes or system elements adversely in a controlled manner, to validate the effectiveness of protections and to enable proactive response and improvement.",
CREF-OBJ-7,cref_objective,Transform,Modify mission or business functions and supporting processes to handle adversity and address environmental changes more effectively.,
CREF-OBJ-8,cref_objective,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,
CREF-TECH-4,cref_technique,Deception,"Mislead, confuse, hide critical assets from, or expose covertly tainted assets to, the adversary.",
CREF-APP-11,cref_approach,Obfuscation,"Hide, transform, or otherwise obfuscate information from the adversary.",
CREF-APP-12,cref_approach,Disinformation,Provide deliberately misleading information to adversaries.,
CREF-APP-13,cref_approach,Misdirection,Maintain deception resources or environments and direct adversary activities there.,
CREF-APP-14,cref_approach,Tainting,Embed covert capabilities in resources.,
