source_id,target_id,relationship_type
D3-SYSDM,D3-TAC-MODEL,belongs_to_tactic
S1235,T1574.001,uses
G0140,T1059.003,uses
S0412,T1218.011,uses
DET0507,T1185,detects
D3-EFA,D3-TAC-DETECT,belongs_to_tactic
S1196,T1553.002,uses
S0132,T1685,uses
S0090,T1113,uses
G0121,T1598.003,uses
T1564.007,Stealth,belongs_to_tactic
C0025,T1059.005,uses
S0488,T1003.002,uses
S0154,T1059.001,uses
M1035,T1542,mitigates
G0143,T1059.003,uses
G0082,S0002,uses
S1039,T1059.001,uses
D3-OUTBOUND-TRAFFIC-FILTERING,D3-TAC-ISOLATE,belongs_to_tactic
DA-FILE,OA-FILE,targets
T1546.011,T1546,subtechnique_of
DA-SYSTEM-CALL,OA-GET-SYSTEM-CONFIG-VALUE,targets
G0082,S0039,uses
S0601,T1082,uses
G0073,T1189,uses
S1088,T1053.005,uses
G0037,S0284,uses
S0484,T1055.001,uses
G1021,T1047,uses
G1001,T1033,uses
G0049,T1069.001,uses
OA-SYSTEM-CONFIGURATION-DATABASE,T1548.004,creates
D3-CERTIFICATE-ROTATION,D3-TAC-HARDEN,belongs_to_tactic
S1154,T1056.004,uses
DA-USER-ACCOUNT,OA-DEFAULT-USER-ACCOUNT,targets
S1226,T1001.003,uses
S0513,T1071.001,uses
G0004,T1105,uses
C0061,T1070.004,uses
G0049,S0610,uses
S0090,T1083,uses
S0512,T1027.002,uses
S1111,T1496.001,uses
C0016,T1036,uses
OA-AUTHENTICATION-SERVICE,T1003.001,accesses
S1240,T1053.005,uses
S0532,T1210,uses
G0076,T1588.002,uses
S0598,T1213.006,uses
M1060,T1489,mitigates
C0025,T1110,uses
G0060,T1203,uses
S0060,T1071.001,uses
S1138,T1584.006,uses
G0065,T1584.004,uses
G0069,S9032,uses
G0102,T1055.001,uses
S9008,T1105,uses
S0603,T1068,uses
S0115,T1680,uses
G0011,T1078,uses
S0604,T1090.003,uses
S0198,T1059.003,uses
T1602.002,T1602,subtechnique_of
C0017,T1105,uses
G0139,T1609,uses
G1015,T1059.001,uses
S0499,T1566.002,uses
S0336,T1686,uses
S0632,T1016,uses
DA-DOCUMENT-FILE,OA-EMAIL,targets
S0377,T1568.002,uses
G1015,T1657,uses
G0129,T1574.001,uses
S0270,T1059.003,uses
DET0843,T1590.002,detects
S0453,T1036,uses
G0114,T1119,uses
T1497.001,Stealth,belongs_to_tactic
S1100,T1036.005,uses
S0445,T1119,uses
T1137.002,Persistence,belongs_to_tactic
M1027,T1558,mitigates
G1002,T1559.002,uses
G0016,T1568,uses
S0203,T1134,uses
S0606,T1495,uses
S1196,T1218.011,uses
DET0433,T1218.013,detects
S0154,T1055.001,uses
G1054,T1003.002,uses
C0024,T1069,uses
M1021,T1127.002,mitigates
G0016,S0682,uses
T1567,Exfiltration,belongs_to_tactic
S0260,T1559.001,uses
G0096,T1033,uses
S0409,T1059.006,uses
S0454,T1056.001,uses
DET0809,T1596.004,detects
S0449,T1059.003,uses
C0035,T1564.013,uses
S0353,T1016,uses
S0663,T1057,uses
G0099,T1566.002,uses
G1048,T1059.006,uses
M1018,T1078.004,mitigates
G1015,T1583.001,uses
S0594,T1059.003,uses
G1013,T1027.013,uses
T1546.005,Privilege Escalation,belongs_to_tactic
S0520,T1070.004,uses
S0666,T1008,uses
S0011,T1112,uses
S1119,T1140,uses
G0026,T1071.004,uses
S1199,T1564.003,uses
G0077,S0002,uses
G0077,T1552.001,uses
S0195,T1070.004,uses
S1090,T1120,uses
S0412,T1059.003,uses
