source_id,target_id,relationship_type
C0012,T1057,uses
S0346,T1070.004,uses
G0102,S1071,uses
G1001,T1102.002,uses
AN1490,DC0032,monitors_data_component
G0119,T1018,uses
C0017,S0097,uses
T1543.004,TA0004,belongs_to_tactic
S1070,T1082,uses
DET0287,T1203,detects
M1051,T1137.005,mitigates
S0043,T1082,uses
C0056,T1203,uses
OA-CREATE-PROCESS,T1055.013,invokes
DET0049,T1070.007,detects
AN0260,DC0001,monitors_data_component
AN0938,DC0032,monitors_data_component
DET0156,AN0443,has_analytic
G1052,T1685,uses
AN0248,DC0039,monitors_data_component
AN1094,DC0088,monitors_data_component
T1098.005,TA0004,belongs_to_tactic
OA-SHARED-LIBRARY-FILE,T1055.001,loads
G0121,T1016,uses
S0658,T1546.004,uses
S0604,T1027,uses
S0456,T1070.004,uses
S1153,T1113,uses
S1105,T1573.002,uses
S1239,T1001.003,uses
G0140,T1059.003,uses
DET0088,T1518.002,detects
S0336,T1016,uses
S0586,T1573.001,uses
DET0538,AN1486,has_analytic
OA-FILE,T1565.001,modifies
S0216,T1113,uses
S1018,T1083,uses
G0035,T1583.001,uses
DET0488,AN1348,has_analytic
T1001,TA0011,belongs_to_tactic
D3-SFV,DA-SYSTEM-FIRMWARE,verifies
S1153,T1082,uses
G1046,T1667,uses
T1584.006,T1584,subtechnique_of
G0035,T1110.002,uses
S1179,T1567,uses
DET0111,AN0310,has_analytic
G0050,S0108,uses
M1056,T1608.002,mitigates
AN0644,DC0059,monitors_data_component
M1042,T1210,mitigates
AN1481,DC0020,monitors_data_component
S0368,T1083,uses
DET0052,AN0142,has_analytic
G0080,T1059.007,uses
G0049,T1133,uses
DET0022,T1187,detects
M1026,T1134.003,mitigates
S0360,T1059.001,uses
S0476,T1113,uses
G0096,T1018,uses
M1028,T1092,mitigates
AN0123,DC0032,monitors_data_component
S0596,T1568.002,uses
DA-FILE,OA-FILE,targets
S1239,T1678,uses
AN0162,DC0061,monitors_data_component
S1199,T1047,uses
G0022,T1027.005,uses
G1047,T1211,uses
S0611,T1106,uses
M1049,T1564,mitigates
M1026,T1021.006,mitigates
S1217,T1489,uses
G0012,T1082,uses
S0251,T1083,uses
AN0366,DC0083,monitors_data_component
S0029,T1543.003,uses
S0379,T1113,uses
AN1424,DC0083,monitors_data_component
G1040,S0029,uses
G0003,S0029,uses
AN0678,DC0032,monitors_data_component
G0010,S0029,uses
G0081,T1221,uses
S1018,T1036,uses
G1043,T1486,uses
S0615,T1090,uses
S0372,T1685,uses
S0051,T1090.001,uses
S0452,T1218.011,uses
DET0469,T1601.001,detects
DET0400,AN1123,has_analytic
S0669,T1566.002,uses
C0047,T1059.001,uses
G0100,S0349,uses
S0415,T1129,uses
S9025,T1027.013,uses
S0617,T1135,uses
OA-ADMINISTRATIVE-NETWORK-TRAFFIC,T1021.001,produces
S1073,T1680,uses
S1114,T1205,uses
S1242,T1087.001,uses
S0194,T1543.003,uses
OA-DATABASE-FILE,T1555,may-access
S0528,T1204.001,uses
S1050,T1059.003,uses
S1076,T1012,uses
DET0349,AN0994,has_analytic
AN0327,DC0032,monitors_data_component
S1153,T1555.001,uses
S0144,T1132.001,uses
AN0679,DC0070,monitors_data_component
G0012,T1027.013,uses
G0065,T1027.003,uses
DA-PROCESS,OA-MESSAGE-TRANSFER-AGENT,targets
AN0444,DC0067,monitors_data_component
M1013,T1564,mitigates
AN0502,DC0016,monitors_data_component
S1063,T1021.006,uses
S0666,T1027.015,uses
G0129,T1046,uses
S0650,T1574.001,uses
S1153,T1074.001,uses
S0053,T1070.004,uses
S0332,T1112,uses
S0698,T1559.001,uses
S0559,T1070.009,uses
S0024,T1071.001,uses
G0037,T1588.002,uses
D3-DNSTA,DA-OUTBOUND-INTERNET-DNS-LOOKUP-TRAFFIC,analyzes
S1028,T1059.003,uses
S1202,T1120,uses
S0117,T1090,uses
S1033,T1112,uses
T1053.006,TA0004,belongs_to_tactic
S0115,T1083,uses
S1020,T1071.004,uses
DET0314,AN0877,has_analytic
S0358,T1087.003,uses
S0268,T1041,uses
M1022,T1053,mitigates
S0056,T1110.002,uses
S9010,T1027.018,uses
S0263,T1059.005,uses
G1043,T1190,uses
S0332,T1070.004,uses
AN0111,DC0032,monitors_data_component
G0099,T1608.001,uses
G0087,T1005,uses
C0016,T1568,uses
AN0983,DC0039,monitors_data_component
G0117,T1190,uses
DET0548,T1567,detects
S1189,T1095,uses
S0245,T1112,uses
S0202,T1546.003,uses
AN0933,DC0032,monitors_data_component
C0051,G0007,attributed-to
C0063,T1584.003,uses
G0122,T1110.003,uses
AN0089,DC0032,monitors_data_component
AN0854,DC0032,monitors_data_component
AN0509,DC0032,monitors_data_component
S0348,T1573.001,uses
S1027,T1070.004,uses
AN0653,DC0039,monitors_data_component
DET0173,AN0492,has_analytic
C0038,T1059.001,uses
AN0955,DC0067,monitors_data_component
S0367,T1055.001,uses
DET0023,AN0068,has_analytic
C0030,T1573,uses
G0073,T1543.003,uses
AN1194,DC0064,monitors_data_component
S1108,T1132.001,uses
S0194,T1552.002,uses
AN1985,DC0003,monitors_data_component
DET0092,T1176,detects
G0034,T1021.002,uses
G1032,S0183,uses
G1015,T1059.004,uses
AN0997,DC0032,monitors_data_component
S0459,T1041,uses
S0554,T1027.002,uses
AN1535,DC0035,monitors_data_component
S0565,T1036,uses
T1665,TA0011,belongs_to_tactic
AN1496,DC0016,monitors_data_component
M1056,T1584.005,mitigates
S0340,T1071.001,uses
DET0326,AN0930,has_analytic
S0579,T1012,uses
G0083,T1657,uses
G1039,T1083,uses
S0022,T1070.004,uses
DET0465,AN1286,has_analytic
S0033,T1010,uses
G0008,T1218.011,uses
OA-OUTBOUND-INTERNET-ENCRYPTED-TRAFFIC,T1573.002,creates
C0022,T1218.010,uses
G1046,T1036.010,uses
S1085,T1135,uses
T1547.014,TA0003,belongs_to_tactic
S0660,T1115,uses
S1132,T1570,uses
S0515,T1005,uses
DET0920,AN2064,has_analytic
DET0082,AN0231,has_analytic
S0125,T1059.011,uses
S9019,T1547.001,uses
M1056,T1586.003,mitigates
S1059,T1140,uses
AN0570,DC0032,monitors_data_component
S0385,T1021.001,uses
D3-PEH,D3-TAC-HARDEN,belongs_to_tactic
G0049,T1025,uses
G1054,T1221,uses
S0154,T1055,uses
S1025,T1105,uses
C0030,T1588.002,uses
DET0052,AN0143,has_analytic
S1149,T1053.005,uses
M1013,T1550,mitigates
DET0190,AN0547,has_analytic
M1022,T1037.005,mitigates
DET0574,AN1586,has_analytic
G0100,T1218.005,uses
AN1308,DC0082,monitors_data_component
DET0010,T1546,detects
DET0550,T1213.004,detects
G0044,T1057,uses
S0640,T1614.001,uses
AN0142,DC0061,monitors_data_component
S0251,T1012,uses
S1012,T1005,uses
C0034,T1572,uses
G0139,T1036.005,uses
S1017,T1041,uses
G0092,T1588.001,uses
G0056,T1204.002,uses
AN0861,DC0058,monitors_data_component
DET0011,T1001.001,detects
AN1216,DC0039,monitors_data_component
AN2013,DC0104,monitors_data_component
AN0826,DC0078,monitors_data_component
C0057,T1546.016,uses
M1053,T1561.001,mitigates
S0363,T1047,uses
AN2008,DC0052,monitors_data_component
C0057,T1027,uses
S0514,T1059.003,uses
S9009,T1552.001,uses
AN0055,DC0032,monitors_data_component
G1018,S0331,uses
AN1059,DC0085,monitors_data_component
S0192,T1114.001,uses
C0024,T1552.004,uses
S0673,T1070.004,uses
S0689,T1569.002,uses
S0575,T1018,uses
M1024,T1037,mitigates
G1015,T1564.008,uses
S0126,T1012,uses
AN1288,DC0039,monitors_data_component
M1042,T1127,mitigates
S0581,T1036.004,uses
S0444,T1574,uses
T1499.002,T1499,subtechnique_of
S0652,T1547.009,uses
DET0498,T1134.003,detects
S1047,T1012,uses
G0077,T1189,uses
C0029,T1056.003,uses
G0069,S1035,uses
D3-PM,D3-TAC-DETECT,belongs_to_tactic
AN1280,DC0032,monitors_data_component
S0266,T1132.001,uses
S0115,T1012,uses
S0011,T1057,uses
S1012,T1105,uses
AN0747,DC0032,monitors_data_component
S0612,T1083,uses
G1054,T1087.002,uses
D3-FBA,DA-FIRMWARE,analyzes
S0515,T1573.002,uses
S1207,T1497,uses
S0142,T1218.011,uses
M1056,T1590.003,mitigates
AN0656,DC0032,monitors_data_component
DET0445,AN1231,has_analytic
M1030,T1048.003,mitigates
G0125,T1584.005,uses
AN1032,DC0039,monitors_data_component
DET0217,T1055.011,detects
S0070,T1083,uses
S0147,T1140,uses
C0063,T1083,uses
S0240,T1112,uses
G1052,T1588.002,uses
AN0439,DC0085,monitors_data_component
G0078,S0262,uses
