source_id,target_id,relationship_type
ZIG-CAP-1.1,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-2.1,ZIG-PIL-2,belongs_to_pillar
ZIG-CAP-2.3,ZIG-PIL-2,belongs_to_pillar
ZIG-CAP-3.1,ZIG-PIL-3,belongs_to_pillar
ZIG-CAP-4.1,ZIG-PIL-4,belongs_to_pillar
ZIG-CAP-4.4,ZIG-PIL-4,belongs_to_pillar
ZIG-CAP-5.1,ZIG-PIL-5,belongs_to_pillar
ZIG-CAP-5.2,ZIG-PIL-5,belongs_to_pillar
ZIG-CAP-6.1,ZIG-PIL-6,belongs_to_pillar
ZIG-CAP-6.2,ZIG-PIL-6,belongs_to_pillar
ZIG-CAP-6.5,ZIG-PIL-6,belongs_to_pillar
ZIG-CAP-6.6,ZIG-PIL-6,belongs_to_pillar
ZIG-CAP-7.1,ZIG-PIL-7,belongs_to_pillar
ZIG-CAP-1.3,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-1.4,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-1.5,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-1.7,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-1.8,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-2.4,ZIG-PIL-2,belongs_to_pillar
ZIG-CAP-2.5,ZIG-PIL-2,belongs_to_pillar
ZIG-CAP-2.6,ZIG-PIL-2,belongs_to_pillar
ZIG-CAP-2.7,ZIG-PIL-2,belongs_to_pillar
ZIG-CAP-3.2,ZIG-PIL-3,belongs_to_pillar
ZIG-CAP-3.3,ZIG-PIL-3,belongs_to_pillar
ZIG-CAP-3.4,ZIG-PIL-3,belongs_to_pillar
ZIG-CAP-4.2,ZIG-PIL-4,belongs_to_pillar
ZIG-CAP-4.3,ZIG-PIL-4,belongs_to_pillar
ZIG-CAP-4.5,ZIG-PIL-4,belongs_to_pillar
ZIG-CAP-4.6,ZIG-PIL-4,belongs_to_pillar
ZIG-CAP-5.3,ZIG-PIL-5,belongs_to_pillar
ZIG-CAP-5.4,ZIG-PIL-5,belongs_to_pillar
ZIG-CAP-6.7,ZIG-PIL-6,belongs_to_pillar
ZIG-CAP-7.2,ZIG-PIL-7,belongs_to_pillar
ZIG-CAP-7.3,ZIG-PIL-7,belongs_to_pillar
ZIG-CAP-7.5,ZIG-PIL-7,belongs_to_pillar
ZIG-CAP-1.2,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-1.6,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-1.9,ZIG-PIL-1,belongs_to_pillar
ZIG-CAP-2.2,ZIG-PIL-2,belongs_to_pillar
ZIG-CAP-4.7,ZIG-PIL-4,belongs_to_pillar
ZIG-CAP-6.3,ZIG-PIL-6,belongs_to_pillar
ZIG-CAP-7.4,ZIG-PIL-7,belongs_to_pillar
ZIG-ACT-1.1.1,ZIG-CAP-1.1,belongs_to_capability
ZIG-ACT-2.1.1,ZIG-CAP-2.1,belongs_to_capability
ZIG-ACT-2.3.4,ZIG-CAP-2.3,belongs_to_capability
ZIG-ACT-3.1.1,ZIG-CAP-3.1,belongs_to_capability
ZIG-ACT-4.1.1,ZIG-CAP-4.1,belongs_to_capability
ZIG-ACT-4.4.1,ZIG-CAP-4.4,belongs_to_capability
ZIG-ACT-4.4.2,ZIG-CAP-4.4,belongs_to_capability
ZIG-ACT-5.1.1,ZIG-CAP-5.1,belongs_to_capability
ZIG-ACT-5.2.1,ZIG-CAP-5.2,belongs_to_capability
ZIG-ACT-6.1.1,ZIG-CAP-6.1,belongs_to_capability
ZIG-ACT-6.2.1,ZIG-CAP-6.2,belongs_to_capability
ZIG-ACT-6.5.1,ZIG-CAP-6.5,belongs_to_capability
ZIG-ACT-6.6.1,ZIG-CAP-6.6,belongs_to_capability
ZIG-ACT-7.1.1,ZIG-CAP-7.1,belongs_to_capability
ZIG-ACT-4.3.1,ZIG-CAP-4.3,belongs_to_capability
ZIG-ACT-1.3.1,ZIG-CAP-1.3,belongs_to_capability
ZIG-ACT-1.4.1,ZIG-CAP-1.4,belongs_to_capability
ZIG-ACT-1.5.1,ZIG-CAP-1.5,belongs_to_capability
ZIG-ACT-1.7.1,ZIG-CAP-1.7,belongs_to_capability
ZIG-ACT-1.8.1,ZIG-CAP-1.8,belongs_to_capability
ZIG-ACT-2.1.2,ZIG-CAP-2.1,belongs_to_capability
ZIG-ACT-2.4.1,ZIG-CAP-2.4,belongs_to_capability
ZIG-ACT-2.5.1,ZIG-CAP-2.5,belongs_to_capability
ZIG-ACT-2.6.1,ZIG-CAP-2.6,belongs_to_capability
ZIG-ACT-2.6.2,ZIG-CAP-2.6,belongs_to_capability
ZIG-ACT-2.7.1,ZIG-CAP-2.7,belongs_to_capability
ZIG-ACT-3.2.1,ZIG-CAP-3.2,belongs_to_capability
ZIG-ACT-3.2.2,ZIG-CAP-3.2,belongs_to_capability
ZIG-ACT-3.3.1,ZIG-CAP-3.3,belongs_to_capability
ZIG-ACT-3.3.2,ZIG-CAP-3.3,belongs_to_capability
ZIG-ACT-3.4.1,ZIG-CAP-3.4,belongs_to_capability
ZIG-ACT-3.4.3,ZIG-CAP-3.4,belongs_to_capability
ZIG-ACT-4.2.1,ZIG-CAP-4.2,belongs_to_capability
ZIG-ACT-4.2.2,ZIG-CAP-4.2,belongs_to_capability
ZIG-ACT-4.4.3,ZIG-CAP-4.4,belongs_to_capability
ZIG-ACT-4.5.1,ZIG-CAP-4.5,belongs_to_capability
ZIG-ACT-4.6.1,ZIG-CAP-4.6,belongs_to_capability
ZIG-ACT-5.1.2,ZIG-CAP-5.1,belongs_to_capability
ZIG-ACT-5.2.2,ZIG-CAP-5.2,belongs_to_capability
ZIG-ACT-5.3.1,ZIG-CAP-5.3,belongs_to_capability
ZIG-ACT-5.4.1,ZIG-CAP-5.4,belongs_to_capability
ZIG-ACT-6.1.2,ZIG-CAP-6.1,belongs_to_capability
ZIG-ACT-6.5.2,ZIG-CAP-6.5,belongs_to_capability
ZIG-ACT-6.6.2,ZIG-CAP-6.6,belongs_to_capability
ZIG-ACT-6.7.1,ZIG-CAP-6.7,belongs_to_capability
ZIG-ACT-7.1.2,ZIG-CAP-7.1,belongs_to_capability
ZIG-ACT-7.2.1,ZIG-CAP-7.2,belongs_to_capability
ZIG-ACT-7.2.4,ZIG-CAP-7.2,belongs_to_capability
ZIG-ACT-7.3.1,ZIG-CAP-7.3,belongs_to_capability
ZIG-ACT-7.5.1,ZIG-CAP-7.5,belongs_to_capability
ZIG-ACT-4.3.2,ZIG-CAP-4.3,belongs_to_capability
ZIG-ACT-1.2.1,ZIG-CAP-1.2,belongs_to_capability
ZIG-ACT-1.2.2,ZIG-CAP-1.2,belongs_to_capability
ZIG-ACT-1.4.2,ZIG-CAP-1.4,belongs_to_capability
ZIG-ACT-1.5.2,ZIG-CAP-1.5,belongs_to_capability
ZIG-ACT-1.6.1,ZIG-CAP-1.6,belongs_to_capability
ZIG-ACT-1.8.2,ZIG-CAP-1.8,belongs_to_capability
ZIG-ACT-1.9.1,ZIG-CAP-1.9,belongs_to_capability
ZIG-ACT-2.1.3,ZIG-CAP-2.1,belongs_to_capability
ZIG-ACT-2.2.1,ZIG-CAP-2.2,belongs_to_capability
ZIG-ACT-2.3.3,ZIG-CAP-2.3,belongs_to_capability
